seed,sweep,param_value,lambda1,tau,radius,accuracy,precision,recall,f1,roc_auc,pr_auc,best_validation_f1
13,lambda1,0.2,0.2,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991963260619977,0.9974299318555491,0.9411764705882353
13,lambda1,0.3,0.3,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991963260619977,0.9974299318555491,0.9411764705882353
13,lambda1,0.4,0.4,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,lambda1,0.5,0.5,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,lambda1,0.6,0.6,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,lambda1,0.7,0.7,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,lambda1,0.8,0.8,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,tau,0.05,0.5,0.05,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,tau,0.1,0.5,0.1,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,tau,0.2,0.5,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,tau,0.3,0.5,0.3,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991963260619977,0.9974299318555491,0.9411764705882353
13,tau,0.5,0.5,0.5,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991963260619977,0.9974299318555491,0.9411764705882353
13,tau,0.7,0.5,0.7,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991963260619977,0.9974299318555491,0.9411764705882353
13,tau,1.0,0.5,1.0,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991963260619977,0.9974299318555491,0.9411764705882353
13,radius,1.0,0.5,0.2,1,0.9840546697038725,0.944954128440367,0.9903846153846154,0.9671361502347418,0.9987370838117107,0.9958841730964174,0.9671361502347418
13,radius,2.0,0.5,0.2,2,0.9703872437357631,0.8888888888888888,1.0,0.9411764705882353,0.9991676234213548,0.9973265406231255,0.9411764705882353
13,radius,3.0,0.5,0.2,3,0.9726651480637813,0.9035087719298246,0.9903846153846154,0.944954128440367,0.9983065442020667,0.9945504078070666,0.944954128440367
13,radius,4.0,0.5,0.2,4,0.9726651480637813,0.9107142857142857,0.9807692307692307,0.9444444444444444,0.9986509758897819,0.9957888332847922,0.9444444444444444
